date,CDW,isPartial
2008-08-09,27,False
2008-08-10,20,False
2008-08-11,56,False
2008-08-12,55,False
2008-08-13,58,False
2008-08-14,68,False
2008-08-15,51,False
2008-08-16,27,False
2008-08-17,23,False
2008-08-18,62,False
2008-08-19,52,False
2008-08-20,58,False
2008-08-21,46,False
2008-08-22,73,False
2008-08-23,29,False
2008-08-24,20,False
2008-08-25,62,False
2008-08-26,58,False
2008-08-27,52,False
2008-08-28,63,False
2008-08-29,54,False
2008-08-30,23,False
2008-08-31,27,False
2008-09-01,18,False
2008-09-02,64,False
2008-09-03,51,False
2008-09-04,65,False
2008-09-05,52,False
2008-09-06,25,False
2008-09-07,27,False
2008-09-08,60,False
2008-09-09,61,False
2008-09-10,56,False
2008-09-11,57,False
2008-09-12,64,False
2008-09-13,22,False
2008-09-14,20,False
2008-09-15,55,False
2008-09-16,59,False
2008-09-17,55,False
2008-09-18,59,False
2008-09-19,48,False
2008-09-20,19,False
2008-09-21,19,False
2008-09-22,56,False
2008-09-23,44,False
2008-09-24,57,False
2008-09-25,66,False
2008-09-26,58,False
2008-09-27,16,False
2008-09-28,26,False
2008-09-29,62,False
2008-09-30,68,False
2008-10-01,53,False
2008-10-02,75,False
2008-10-03,46,False
2008-10-04,19,False
2008-10-05,16,False
2008-10-06,53,False
2008-10-07,49,False
2008-10-08,56,False
2008-10-09,58,False
2008-10-10,55,False
2008-10-11,15,False
2008-10-12,20,False
2008-10-13,44,False
2008-10-14,50,False
2008-10-15,58,False
2008-10-16,58,False
2008-10-17,53,False
2008-10-18,0,False
2008-10-19,19,False
2008-10-20,56,False
2008-10-21,55,False
2008-10-22,63,False
2008-10-23,59,False
2008-10-24,53,False
2008-10-25,27,False
2008-10-26,14,False
2008-10-27,47,False
2008-10-28,58,False
2008-10-29,49,False
2008-10-30,42,False
2008-10-31,60,False
2008-11-01,14,False
2008-11-02,29,False
2008-11-03,43,False
2008-11-04,55,False
2008-11-05,50,False
2008-11-06,50,False
2008-11-07,49,False
2008-11-08,23,False
2008-11-09,16,False
2008-11-10,52,False
2008-11-11,59,False
2008-11-12,50,False
2008-11-13,46,False
2008-11-14,62,False
2008-11-15,25,False
2008-11-16,23,False
2008-11-17,58,False
2008-11-18,64,False
2008-11-19,57,False
2008-11-20,51,False
2008-11-21,46,False
2008-11-22,18,False
2008-11-23,24,False
2008-11-24,49,False
2008-11-25,53,False
2008-11-26,47,False
2008-11-27,20,False
2008-11-28,22,False
2008-11-29,19,False
2008-11-30,12,False
2008-12-01,60,False
2008-12-02,50,False
2008-12-03,58,False
2008-12-04,51,False
2008-12-05,53,False
2008-12-06,23,False
2008-12-07,15,False
2008-12-08,67,False
2008-12-09,56,False
2008-12-10,61,False
2008-12-11,59,False
2008-12-12,53,False
2008-12-13,0,False
2008-12-14,18,False
2008-12-15,60,False
2008-12-16,53,False
2008-12-17,46,False
2008-12-18,53,False
2008-12-19,52,False
2008-12-20,62,False
2008-12-21,17,False
2008-12-22,48,False
2008-12-23,43,False
2008-12-24,28,False
2008-12-25,0,False
2008-12-26,21,False
2008-12-27,28,False
2008-12-28,0,False
2008-12-29,42,False
2008-12-30,59,False
2008-12-31,37,False
2009-01-01,34,False
2009-01-02,54,False
2009-01-03,32,False
2009-01-04,19,False
2009-01-05,61,False
2009-01-06,100,False
2009-01-07,68,False
2009-01-08,70,False
2009-01-09,63,False
2009-01-10,21,False
2009-01-11,23,False
2009-01-12,67,False
2009-01-13,87,False
2009-01-14,87,False
2009-01-15,70,False
2009-01-16,90,False
2009-01-17,28,False
2009-01-18,27,False
2009-01-19,59,False
2009-01-20,75,False
2009-01-21,84,False
2009-01-22,76,False
2009-01-23,83,False
2009-01-24,33,False
2009-01-25,24,False
2009-01-26,83,False
2009-01-27,100,False
2009-01-28,85,False
2009-01-29,63,False
2009-01-30,62,False
2009-01-31,24,False
2009-02-01,28,False
2009-02-02,59,False
2009-02-03,89,False
2009-02-04,78,False
2009-02-05,88,False
2009-02-06,79,False
2009-02-07,20,False
2009-02-08,29,False
2009-02-09,76,False
2009-02-10,75,False
2009-02-11,90,False
2009-02-12,75,False
2009-02-13,77,False
2009-02-14,25,False
2009-02-15,41,False
2009-02-16,57,False
2009-02-17,62,False
2009-02-18,80,False
2009-02-19,67,False
2009-02-20,57,False
2009-02-21,37,False
2009-02-22,29,False
2009-02-23,80,False
2009-02-24,75,False
2009-02-25,75,False
2009-02-26,72,False
2009-02-27,68,False
2009-02-28,28,False
2009-03-01,23,False
2009-03-02,38,False
2009-03-03,66,False
2009-03-04,66,False
2009-03-05,74,False
2009-03-06,52,False
2009-03-07,26,False
2009-03-08,22,False
2009-03-09,67,False
2009-03-10,70,False
2009-03-11,74,False
2009-03-12,65,False
2009-03-13,54,False
2009-03-14,0,False
2009-03-15,22,False
2009-03-16,66,False
2009-03-17,69,False
2009-03-18,84,False
2009-03-19,57,False
2009-03-20,72,False
2009-03-21,27,False
2009-03-22,24,False
2009-03-23,62,False
2009-03-24,59,False
2009-03-25,63,False
2009-03-26,60,False
2009-03-27,48,False
2009-03-28,34,False
2009-03-29,22,False
2009-03-30,78,False
2009-03-31,61,False
2009-04-01,78,False
2009-04-02,67,False
2009-04-03,50,False
2009-04-04,30,False
2009-04-05,26,False
2009-04-06,64,False
2009-04-07,64,False
2009-04-08,71,False
2009-04-09,66,False
2009-04-10,55,False
2009-04-11,37,False
2009-04-12,21,False
2009-04-13,69,False
2009-04-14,67,False
2009-04-15,65,False
2009-04-16,66,False
2009-04-17,65,False
2009-04-18,0,False
2009-04-19,35,False
2009-04-20,62,False
2009-04-21,62,False
2009-04-22,65,False
2009-04-23,74,False
2009-04-24,59,False
2009-04-25,19,False
2009-04-26,27,False
2009-04-27,64,False
2009-04-28,71,False
2009-04-29,65,False
2009-04-30,58,False
2009-05-01,61,False
2009-05-02,20,False
2009-05-03,28,False
2009-05-04,68,False
2009-05-05,67,False
2009-05-06,74,False
2009-05-07,62,False
2009-05-08,57,False
2009-05-09,25,False
2009-05-10,19,False
2009-05-11,63,False
2009-05-12,73,False
2009-05-13,60,False
2009-05-14,68,False
2009-05-15,55,False
2009-05-16,21,False
2009-05-17,23,False
2009-05-18,59,False
2009-05-19,64,False
2009-05-20,64,False
2009-05-21,61,False
2009-05-22,50,False
2009-05-23,21,False
2009-05-24,27,False
2009-05-25,32,False
2009-05-26,67,False
2009-05-27,65,False
2009-05-28,65,False
2009-05-29,68,False
2009-05-30,23,False
2009-05-31,29,False
2009-06-01,65,False
2009-06-02,65,False
2009-06-03,59,False
2009-06-04,69,False
2009-06-05,52,False
2009-06-06,21,False
2009-06-07,30,False
2009-06-08,60,False
2009-06-09,59,False
2009-06-10,54,False
2009-06-11,77,False
2009-06-12,63,False
2009-06-13,17,False
2009-06-14,25,False
2009-06-15,62,False
2009-06-16,72,False
2009-06-17,69,False
2009-06-18,58,False
2009-06-19,55,False
2009-06-20,20,False
2009-06-21,26,False
2009-06-22,61,False
2009-06-23,52,False
2009-06-24,61,False
2009-06-25,64,False
2009-06-26,58,False
2009-06-27,0,False
2009-06-28,23,False
2009-06-29,52,False
2009-06-30,61,False
2009-07-01,67,False
2009-07-02,47,False
2009-07-03,21,False
2009-07-04,21,False
2009-07-05,31,False
2009-07-06,68,False
2009-07-07,59,False
2009-07-08,79,False
2009-07-09,79,False
2009-07-10,82,False
2009-07-11,0,False
2009-07-12,28,False
2009-07-13,93,False
2009-07-14,69,False
2009-07-15,79,False
2009-07-16,80,False
2009-07-17,62,False
2009-07-18,24,False
2009-07-19,30,False
2009-07-20,60,False
2009-07-21,72,False
2009-07-22,67,False
2009-07-23,77,False
2009-07-24,55,False
2009-07-25,0,False
2009-07-26,30,False
2009-07-27,74,False
2009-07-28,66,False
2009-07-29,67,False
2009-07-30,70,False
2009-07-31,84,False
2009-08-01,38,False
2009-08-02,0,False
2009-08-03,72,False
2009-08-04,96,False
2009-08-05,100,False
2009-08-06,72,False
2009-08-07,67,False
2009-08-08,23,False
2009-08-09,20,False
2009-08-10,87,False
2009-08-11,90,False
2009-08-12,77,False
2009-08-13,89,False
2009-08-14,68,False
2009-08-15,27,False
2009-08-16,33,False
2009-08-17,77,False
2009-08-18,87,False
2009-08-19,78,False
2009-08-20,86,False
2009-08-21,76,False
2009-08-22,37,False
2009-08-23,34,False
2009-08-24,73,False
2009-08-25,83,False
2009-08-26,87,False
2009-08-27,72,False
2009-08-28,71,False
2009-08-29,24,False
2009-08-30,21,False
2009-08-31,78,False
2009-09-01,82,False
2009-09-02,67,False
2009-09-03,63,False
2009-09-04,61,False
2009-09-05,28,False
2009-09-06,31,False
2009-09-07,26,False
2009-09-08,71,False
2009-09-09,77,False
2009-09-10,67,False
2009-09-11,73,False
2009-09-12,22,False
2009-09-13,23,False
2009-09-14,62,False
2009-09-15,80,False
2009-09-16,72,False
2009-09-17,84,False
2009-09-18,65,False
2009-09-19,41,False
2009-09-20,30,False
2009-09-21,78,False
2009-09-22,74,False
2009-09-23,85,False
2009-09-24,62,False
2009-09-25,70,False
2009-09-26,23,False
2009-09-27,31,False
2009-09-28,78,False
2009-09-29,78,False
2009-09-30,88,False
2009-10-01,70,False
2009-10-02,68,False
2009-10-03,30,False
2009-10-04,20,False
2009-10-05,74,False
2009-10-06,77,False
2009-10-07,76,False
2009-10-08,82,False
2009-10-09,53,False
2009-10-10,26,False
2009-10-11,30,False
2009-10-12,71,False
2009-10-13,62,False
2009-10-14,74,False
2009-10-15,69,False
2009-10-16,60,False
2009-10-17,21,False
2009-10-18,25,False
2009-10-19,66,False
2009-10-20,70,False
2009-10-21,78,False
2009-10-22,78,False
2009-10-23,84,False
2009-10-24,19,False
2009-10-25,23,False
2009-10-26,66,False
2009-10-27,72,False
2009-10-28,79,False
2009-10-29,83,False
2009-10-30,53,False
2009-10-31,31,False
2009-11-01,47,False
2009-11-02,65,False
2009-11-03,65,False
2009-11-04,68,False
2009-11-05,64,False
2009-11-06,62,False
2009-11-07,0,False
2009-11-08,16,False
2009-11-09,68,False
2009-11-10,72,False
2009-11-11,49,False
2009-11-12,66,False
2009-11-13,67,False
2009-11-14,26,False
2009-11-15,18,False
2009-11-16,70,False
2009-11-17,71,False
2009-11-18,57,False
2009-11-19,80,False
2009-11-20,74,False
2009-11-21,26,False
2009-11-22,25,False
2009-11-23,62,False
2009-11-24,74,False
2009-11-25,68,False
2009-11-26,26,False
2009-11-27,50,False
2009-11-28,28,False
2009-11-29,29,False
2009-11-30,70,False
2009-12-01,71,False
2009-12-02,93,False
2009-12-03,81,False
2009-12-04,75,False
2009-12-05,31,False
2009-12-06,24,False
2009-12-07,58,False
2009-12-08,61,False
2009-12-09,73,False
2009-12-10,58,False
2009-12-11,65,False
2009-12-12,33,False
2009-12-13,22,False
2009-12-14,70,False
2009-12-15,75,False
2009-12-16,69,False
2009-12-17,65,False
2009-12-18,60,False
2009-12-19,31,False
2009-12-20,21,False
2009-12-21,66,False
2009-12-22,46,False
2009-12-23,52,False
2009-12-24,22,False
2009-12-25,25,False
2009-12-26,27,False
2009-12-27,19,False
2009-12-28,53,False
2009-12-29,47,False
2009-12-30,51,False
2009-12-31,30,False
2010-01-01,0,False
2010-01-02,17,False
2010-01-03,28,False
2010-01-04,73,False
2010-01-05,78,False
2010-01-06,79,False
2010-01-07,76,False
2010-01-08,74,False
2010-01-09,40,False
2010-01-10,30,False
2010-01-11,77,False
2010-01-12,89,False
2010-01-13,78,False
2010-01-14,81,False
2010-01-15,76,False
2010-01-16,0,False
2010-01-17,30,False
2010-01-18,54,False
2010-01-19,87,False
2010-01-20,76,False
2010-01-21,80,False
2010-01-22,69,False
2010-01-23,33,False
2010-01-24,23,False
2010-01-25,69,False
2010-01-26,75,False
2010-01-27,85,False
2010-01-28,77,False
2010-01-29,67,False
2010-01-30,35,False
2010-01-31,25,False
2010-02-01,60,False
2010-02-02,64,False
2010-02-03,78,False
2010-02-04,73,False
2010-02-05,76,False
2010-02-06,30,False
2010-02-07,23,False
2010-02-08,66,False
2010-02-09,78,False
2010-02-10,73,False
2010-02-11,67,False
2010-02-12,48,False
2010-02-13,27,False
2010-02-14,27,False
2010-02-15,56,False
2010-02-16,76,False
2010-02-17,80,False
2010-02-18,73,False
2010-02-19,63,False
2010-02-20,30,False
2010-02-21,21,False
2010-02-22,76,False
2010-02-23,77,False
2010-02-24,76,False
2010-02-25,74,False
2010-02-26,48,False
2010-02-27,40,False
2010-02-28,29,False
2010-03-01,64,False
2010-03-02,85,False
2010-03-03,72,False
2010-03-04,70,False
2010-03-05,80,False
2010-03-06,32,False
2010-03-07,25,False
2010-03-08,66,False
2010-03-09,77,False
2010-03-10,71,False
2010-03-11,70,False
2010-03-12,63,False
2010-03-13,22,False
2010-03-14,27,False
2010-03-15,66,False
2010-03-16,81,False
2010-03-17,58,False
2010-03-18,59,False
2010-03-19,76,False
2010-03-20,23,False
2010-03-21,31,False
2010-03-22,77,False
2010-03-23,71,False
2010-03-24,66,False
2010-03-25,68,False
2010-03-26,71,False
2010-03-27,36,False
2010-03-28,28,False
2010-03-29,72,False
2010-03-30,68,False
2010-03-31,67,False
2010-04-01,80,False
2010-04-02,54,False
2010-04-03,31,False
2010-04-04,0,False
2010-04-05,66,False
2010-04-06,65,False
2010-04-07,54,False
2010-04-08,61,False
2010-04-09,74,False
2010-04-10,19,False
2010-04-11,23,False
2010-04-12,78,False
2010-04-13,79,False
2010-04-14,72,False
2010-04-15,54,False
2010-04-16,70,False
2010-04-17,24,False
2010-04-18,25,False
2010-04-19,64,False
2010-04-20,83,False
2010-04-21,88,False
2010-04-22,57,False
2010-04-23,64,False
2010-04-24,20,False
2010-04-25,28,False
2010-04-26,70,False
2010-04-27,53,False
2010-04-28,80,False
2010-04-29,85,False
2010-04-30,72,False
2010-05-01,21,False
2010-05-02,34,False
2010-05-03,73,False
2010-05-04,66,False
2010-05-05,71,False
2010-05-06,73,False
2010-05-07,67,False
2010-05-08,30,False
2010-05-09,29,False
2010-05-10,73,False
2010-05-11,100,False
2010-05-12,65,False
2010-05-13,87,False
2010-05-14,58,False
2010-05-15,25,False
2010-05-16,22,False
2010-05-17,80,False
2010-05-18,84,False
2010-05-19,72,False
2010-05-20,78,False
2010-05-21,63,False
2010-05-22,18,False
2010-05-23,27,False
2010-05-24,80,False
2010-05-25,76,False
2010-05-26,82,False
2010-05-27,69,False
2010-05-28,60,False
2010-05-29,21,False
2010-05-30,27,False
2010-05-31,34,False
2010-06-01,69,False
2010-06-02,89,False
2010-06-03,75,False
2010-06-04,72,False
2010-06-05,32,False
2010-06-06,0,False
2010-06-07,72,False
2010-06-08,84,False
2010-06-09,71,False
2010-06-10,78,False
2010-06-11,60,False
2010-06-12,33,False
2010-06-13,21,False
2010-06-14,71,False
2010-06-15,68,False
2010-06-16,73,False
2010-06-17,75,False
2010-06-18,49,False
2010-06-19,19,False
2010-06-20,23,False
2010-06-21,68,False
2010-06-22,63,False
2010-06-23,77,False
2010-06-24,67,False
2010-06-25,47,False
2010-06-26,20,False
2010-06-27,0,False
2010-06-28,72,False
2010-06-29,75,False
2010-06-30,57,False
2010-07-01,68,False
2010-07-02,50,False
2010-07-03,29,False
2010-07-04,25,False
2010-07-05,28,False
2010-07-06,69,False
2010-07-07,73,False
2010-07-08,68,False
2010-07-09,65,False
2010-07-10,34,False
2010-07-11,31,False
2010-07-12,71,False
2010-07-13,74,False
2010-07-14,89,False
2010-07-15,100,False
2010-07-16,78,False
2010-07-17,0,False
2010-07-18,0,False
2010-07-19,64,False
2010-07-20,91,False
2010-07-21,80,False
2010-07-22,73,False
2010-07-23,60,False
2010-07-24,34,False
2010-07-25,22,False
2010-07-26,78,False
2010-07-27,70,False
2010-07-28,83,False
2010-07-29,85,False
2010-07-30,63,False
2010-07-31,23,False
2010-08-01,21,False
2010-08-02,68,False
2010-08-03,51,False
2010-08-04,77,False
2010-08-05,89,False
2010-08-06,85,False
2010-08-07,37,False
2010-08-08,28,False
2010-08-09,76,False
2010-08-10,82,False
2010-08-11,65,False
2010-08-12,79,False
2010-08-13,76,False
2010-08-14,17,False
2010-08-15,20,False
2010-08-16,85,False
2010-08-17,85,False
2010-08-18,73,False
2010-08-19,70,False
2010-08-20,67,False
2010-08-21,16,False
2010-08-22,28,False
2010-08-23,85,False
2010-08-24,71,False
2010-08-25,78,False
2010-08-26,74,False
2010-08-27,52,False
2010-08-28,28,False
2010-08-29,28,False
2010-08-30,64,False
2010-08-31,76,False
2010-09-01,80,False
2010-09-02,88,False
2010-09-03,47,False
2010-09-04,21,False
2010-09-05,0,False
2010-09-06,34,False
2010-09-07,88,False
2010-09-08,59,False
2010-09-09,67,False
2010-09-10,66,False
2010-09-11,31,False
2010-09-12,19,False
2010-09-13,78,False
2010-09-14,87,False
2010-09-15,82,False
2010-09-16,72,False
2010-09-17,83,False
2010-09-18,18,False
2010-09-19,23,False
2010-09-20,88,False
2010-09-21,83,False
2010-09-22,82,False
2010-09-23,75,False
2010-09-24,66,False
2010-09-25,18,False
2010-09-26,24,False
2010-09-27,66,False
2010-09-28,67,False
2010-09-29,75,False
2010-09-30,71,False
2010-10-01,76,False
2010-10-02,20,False
2010-10-03,22,False
2010-10-04,71,False
2010-10-05,73,False
2010-10-06,86,False
2010-10-07,73,False
2010-10-08,74,False
2010-10-09,20,False
2010-10-10,25,False
2010-10-11,64,False
2010-10-12,78,False
2010-10-13,71,False
2010-10-14,83,False
2010-10-15,76,False
2010-10-16,32,False
2010-10-17,18,False
2010-10-18,80,False
2010-10-19,88,False
2010-10-20,65,False
2010-10-21,65,False
2010-10-22,71,False
2010-10-23,18,False
2010-10-24,27,False
2010-10-25,69,False
2010-10-26,82,False
2010-10-27,73,False
2010-10-28,59,False
2010-10-29,68,False
2010-10-30,17,False
2010-10-31,0,False
2010-11-01,66,False
2010-11-02,64,False
2010-11-03,59,False
2010-11-04,68,False
2010-11-05,68,False
2010-11-06,18,False
2010-11-07,17,False
2010-11-08,80,False
2010-11-09,73,False
2010-11-10,85,False
2010-11-11,70,False
2010-11-12,88,False
2010-11-13,23,False
2010-11-14,23,False
2010-11-15,89,False
2010-11-16,79,False
2010-11-17,82,False
2010-11-18,76,False
2010-11-19,81,False
2010-11-20,17,False
2010-11-21,19,False
2010-11-22,65,False
2010-11-23,73,False
2010-11-24,59,False
2010-11-25,32,False
2010-11-26,35,False
2010-11-27,21,False
2010-11-28,29,False
2010-11-29,76,False
2010-11-30,90,False
2010-12-01,62,False
2010-12-02,80,False
2010-12-03,58,False
2010-12-04,27,False
2010-12-05,29,False
2010-12-06,74,False
2010-12-07,66,False
2010-12-08,84,False
2010-12-09,80,False
2010-12-10,61,False
2010-12-11,26,False
2010-12-12,27,False
2010-12-13,76,False
2010-12-14,62,False
2010-12-15,75,False
2010-12-16,73,False
2010-12-17,58,False
2010-12-18,29,False
2010-12-19,29,False
2010-12-20,61,False
2010-12-21,63,False
2010-12-22,66,False
2010-12-23,41,False
2010-12-24,35,False
2010-12-25,20,False
2010-12-26,70,False
2010-12-27,96,False
2010-12-28,90,False
2010-12-29,95,False
2010-12-30,61,False
2010-12-31,24,False
2011-01-01,27,False
2011-01-02,28,False
2011-01-03,55,False
2011-01-04,63,False
2011-01-05,66,False
2011-01-06,89,False
2011-01-07,65,False
2011-01-08,35,False
2011-01-09,27,False
2011-01-10,47,False
2011-01-11,80,False
2011-01-12,79,False
2011-01-13,77,False
2011-01-14,75,False
2011-01-15,36,False
2011-01-16,25,False
2011-01-17,61,False
2011-01-18,83,False
2011-01-19,73,False
2011-01-20,84,False
2011-01-21,77,False
2011-01-22,26,False
2011-01-23,20,False
2011-01-24,74,False
2011-01-25,74,False
2011-01-26,67,False
2011-01-27,78,False
2011-01-28,67,False
2011-01-29,28,False
2011-01-30,25,False
2011-01-31,78,False
2011-02-01,65,False
2011-02-02,91,False
2011-02-03,82,False
2011-02-04,69,False
2011-02-05,27,False
2011-02-06,28,False
2011-02-07,68,False
2011-02-08,78,False
2011-02-09,72,False
2011-02-10,76,False
2011-02-11,80,False
2011-02-12,30,False
2011-02-13,22,False
2011-02-14,65,False
2011-02-15,82,False
2011-02-16,84,False
2011-02-17,65,False
2011-02-18,68,False
2011-02-19,18,False
2011-02-20,25,False
2011-02-21,62,False
2011-02-22,64,False
2011-02-23,68,False
2011-02-24,71,False
2011-02-25,72,False
2011-02-26,25,False
2011-02-27,21,False
2011-02-28,79,False
2011-03-01,67,False
2011-03-02,78,False
2011-03-03,70,False
2011-03-04,66,False
2011-03-05,31,False
2011-03-06,22,False
2011-03-07,84,False
2011-03-08,64,False
2011-03-09,77,False
2011-03-10,65,False
2011-03-11,62,False
2011-03-12,33,False
2011-03-13,23,False
2011-03-14,58,False
2011-03-15,82,False
2011-03-16,71,False
2011-03-17,70,False
2011-03-18,59,False
2011-03-19,23,False
2011-03-20,28,False
2011-03-21,74,False
2011-03-22,80,False
2011-03-23,75,False
2011-03-24,70,False
2011-03-25,68,False
2011-03-26,25,False
2011-03-27,23,False
2011-03-28,54,False
2011-03-29,84,False
2011-03-30,85,False
2011-03-31,75,False
2011-04-01,67,False
2011-04-02,35,False
2011-04-03,29,False
2011-04-04,60,False
2011-04-05,83,False
2011-04-06,78,False
2011-04-07,68,False
2011-04-08,66,False
2011-04-09,23,False
2011-04-10,20,False
2011-04-11,75,False
2011-04-12,81,False
2011-04-13,61,False
2011-04-14,81,False
2011-04-15,63,False
2011-04-16,32,False
2011-04-17,28,False
2011-04-18,64,False
2011-04-19,68,False
2011-04-20,69,False
2011-04-21,65,False
2011-04-22,57,False
2011-04-23,0,False
2011-04-24,23,False
2011-04-25,74,False
2011-04-26,74,False
2011-04-27,74,False
2011-04-28,71,False
2011-04-29,50,False
2011-04-30,19,False
2011-05-01,26,False
2011-05-02,65,False
2011-05-03,72,False
2011-05-04,66,False
2011-05-05,68,False
2011-05-06,68,False
2011-05-07,20,False
2011-05-08,20,False
2011-05-09,67,False
2011-05-10,76,False
2011-05-11,71,False
2011-05-12,73,False
2011-05-13,69,False
2011-05-14,31,False
2011-05-15,26,False
2011-05-16,68,False
2011-05-17,77,False
2011-05-18,63,False
2011-05-19,72,False
2011-05-20,66,False
2011-05-21,20,False
2011-05-22,31,False
2011-05-23,72,False
2011-05-24,84,False
2011-05-25,68,False
2011-05-26,69,False
2011-05-27,69,False
2011-05-28,27,False
2011-05-29,27,False
2011-05-30,29,False
2011-05-31,73,False
2011-06-01,62,False
2011-06-02,73,False
2011-06-03,60,False
2011-06-04,26,False
2011-06-05,26,False
2011-06-06,61,False
2011-06-07,76,False
2011-06-08,74,False
2011-06-09,90,False
2011-06-10,70,False
2011-06-11,23,False
2011-06-12,22,False
2011-06-13,68,False
2011-06-14,100,False
2011-06-15,64,False
2011-06-16,52,False
2011-06-17,63,False
2011-06-18,19,False
2011-06-19,31,False
2011-06-20,64,False
2011-06-21,86,False
2011-06-22,70,False
2011-06-23,72,False
